1 -> 1000,7,35,9,,1000 -> 2000,4,86,3,,2000 ->,26,44,44,,3000->,21,19,121,,,Example
,15,45,12,,,5,94,33,,,29,68,211,,,38,25,388,,,Duplicates
,36,56,81,,,8,97,34,,,63,137,251,,,131,32,493,,,Solved
,39,57,144,,,16,111,76,,,69,169,400,,,182,39,593,,,Considering
,43,59,205,,,18,127,113,,,93,174,507,,,191,66,630,,,After Consi
,67,66,216,,,20,133,119,,,101,189,594,,,221,84,646,,,Confirmed missing
,74,69,241,,,21,170,142,,,102,192,712,,,244,92,648,,,
,87,76,249,,,22,174,158,,,109,198,724,,,260,121,664,,,
,88,77,286,,,24,176,199,,,121,201,863,,,298,190,,,,
,100,83,357,,,31,179,213,,,122,204,883,,,325,192,,,,
,102,85,369,,,42,190,249,,,123,215,885,,,330,199,,,,
,107,92,478,,,44,196,373,,,125,225,900,,,340,215,,,,
,112,98,498,,,46,200,380,,,127,231,914,Error,,359,251,,,,
,124,123,514,,,47,207,434,,,138,241,,,,362,252,,,,
,125,103,580,,,49,325,510,,,142,258,,,,364,260,,,,
,132,114,583,,,53,362,534,,,144,263,,,,395,262,,,,
,133,130,651,,,54,397,569,,,167,277,,,,410,273,,,,
,146,134,709,,,58,399,611,,,186,284,,,,424,286,,,,
,147,142,730,,,59,411,612,,,188,290,,,,426,298,,,,
,148,163,889,,,62,442,748,,,214,291,,,,452,303,,,,
,151,165,,,,65,467,761,,,216,313,,,,458,357,,,,
,160,170,,,,66,482,796,,,217,319,,,,467,367,,,,
,171,180,,,,69,502,845,,,235,324,,,,469,396,,,,
,175,187,,,,72,504,847,,,246,325,,,,482,400,,,,
,178,196,,,,79,510,868,,,252,333,,,,490,408,,,,
,185,197,,,,83,563,,,,271,342,,,,514,439,,,,
,198,200,,,,103,568,,,,282,370,,,,536,450,,,,
,206,208,,,,107,601,,,,284,380,,,,541,451,,,,
,252,227,,,,108,638,,,,291,390,,,,557,477,,,,
,262,230,,,,109,639,,,,293,393,,,,558,478,,,,
,275,235,,,,110,669,,,,303,400,,,,573,493,,,,
,282,237,,,,112,677,,,,308,411,,,,578,536,,,,
,283,254,,,,114,684,,,,324,428,,,,593,541,,,,
,314,256,,,,115,685,,,,325,431,,,,606,542,,,,
,315,258,,,,119,688,,,,333,435,,,,611,558,,,,
,319,260,,,,122,691,,,,335,449,,,,616,578,,,,
,331,263,,,,131,694,,,,346,455,,,,625,593,,,,
,332,271,,,,134,712,,,,363,458,,,,636,607,,,,
,335,272,,,,137,744,,,,364,460,,,,640,612,,,,
,345,285,,,,152,763,,,,373,501,,,,649,626,,,,
,363,292,,,,161,766,,,,400,502,,,,663,628,,,,
